customer_id,Total,Spend
93094,7,181569.68
64560,7,169060.4
23289,7,161573.8
52275,7,153364.79
61218,7,153067.55
52034,7,152680.05
40442,7,151037.32
60528,7,148691.95
84830,7,148363.84
82593,7,148281.04
20648,7,148084.29
15759,7,147852.55
36102,7,147833.9
60538,7,147514.06
79352,7,146656.2
67896,7,146604.06
89114,7,146574.77
17810,7,145903.82
28584,7,145728.93
82699,7,144907.5
36631,7,144744.71
42954,7,144564.6
17100,7,144554.18
45631,7,144546.88
87660,7,143882.28
84484,7,143082.23
43740,7,141692.61
35970,7,141691.74
65135,7,141454.51
35746,7,140954.68
21763,7,140938.34
3434,7,140736.18
3376,7,140612.36
24624,7,140025.86
29145,7,140001.58
97963,7,139582.46
70093,7,139552.81
62783,7,139378.18
75354,7,139356.92
74618,7,138667.39
40367,7,138422.21
94429,7,138235.86
79586,7,137774.9
51404,7,137492.82
28328,7,137492.5
44655,7,137299.26
46068,7,137190.89
59168,7,136437.87
72134,7,136163.9
13850,7,136090.54
10188,7,135969.91
93755,7,135885.61
79896,7,135715.6
79367,7,135640.17
81896,7,135624.61
95043,7,135568.86
99083,7,135422.3
46241,7,135368.73
21067,7,135303.32
65948,7,135265.61
38214,7,134853.38
25662,7,134054.6
68846,7,133887.0
75959,7,133870.12
62815,7,133683.81
59362,7,133634.03
98351,7,133503.64
23513,7,133348.35
14945,7,133266.38
86897,7,133074.21
95873,7,132987.14
25426,7,132971.25
27775,7,132962.83
19244,7,132949.47
81431,7,132859.76
17979,7,132436.51
24316,7,132229.35
90972,7,132014.82
34065,7,131915.43
18106,7,131877.29
93874,7,131803.88
37277,7,131729.69
10590,7,131720.99
14283,7,131646.87
92917,7,131629.19
42327,7,131588.74
36648,7,131395.85
37488,7,131276.71
67594,7,131171.4
27327,7,131134.07
26638,7,131059.4
1066,7,131014.11
19856,7,130855.37
78192,7,130755.98
22740,7,130736.31
78244,7,130693.33
84466,7,130662.06
48481,7,130587.58
24814,7,130516.75
93919,7,130478.5
25163,7,130432.86
30389,7,130396.92
94812,7,130371.05
12003,7,130345.22
99046,7,130299.78
55426,7,130134.26
23989,7,130110.53
84283,7,129869.61
31157,7,129733.74
26093,7,129731.33
11438,7,129511.28
55636,7,129500.73
2359,7,129366.73
69093,7,129195.48
86720,7,129157.35
48371,7,129071.04
89802,7,129057.54
53806,7,128952.14
74901,7,128736.86
93743,7,128709.32
16307,7,128673.28
14176,7,128631.8
89401,7,128618.08
20537,7,128483.52
94717,7,128434.55
32635,7,128418.1
65572,7,128319.88
37339,7,128289.99
73743,7,128289.7
45735,7,128258.18
39187,7,128161.09
44108,7,128065.03
3907,7,128034.54
60669,7,127946.54
81320,7,127874.24
41771,7,127834.16
33551,7,127693.22
23087,7,127634.24
57984,7,127489.04
81900,7,127465.68
47966,7,127318.46
53139,7,127296.52
60,7,127179.27
18324,7,126988.89
65643,7,126968.29
58739,7,126812.48
49779,7,126790.79
61576,7,126755.16
57915,7,126423.37
80447,7,126365.77
23380,7,126316.53
88960,7,126290.69
83276,7,126265.66
17830,7,126237.79
90332,7,126207.2
15345,7,126183.67
65922,7,126160.64
25215,7,125972.95
79943,7,125954.34
38006,7,125850.41
11059,7,125819.17
95462,7,125663.43
79282,7,125650.25
43052,7,125635.42
3651,7,125627.85
70862,7,125609.33
3057,7,125548.52
77383,7,125526.49
54438,7,125426.22
97308,7,125295.47
44554,7,125262.22
59045,7,125186.01
36854,7,125034.01
29960,7,124977.52
26237,7,124967.93
33864,7,124921.04
27632,7,124724.12
33092,7,124659.74
702,7,124648.35
33174,7,124514.69
63013,7,124507.61
90008,7,124455.78
67886,7,124422.63
16249,7,124312.9
63068,7,124230.16
53605,7,124224.08
34249,7,124205.8
28573,7,124165.92
99816,7,124126.88
98921,7,124084.56
72676,7,124015.84
45264,7,123972.78
68510,7,123905.32
85371,7,123842.42
34578,7,123721.26
55306,7,123696.27
35880,7,123667.33
39748,7,123601.84
