customer_id,Total_purchases
93094,181569.68000000005
64560,169060.39999999997
23289,161573.8
52275,153364.78999999998
61218,153067.55
52034,152680.05
40442,151037.32000000004
60528,148691.95
84830,148363.84
82593,148281.04
20648,148084.28999999998
15759,147852.55000000002
36102,147833.9
60538,147514.06000000003
79352,146656.2
67896,146604.06000000003
89114,146574.77000000002
17810,145903.82
28584,145728.93
82699,144907.5
36631,144744.71000000002
42954,144564.6
17100,144554.18000000002
45631,144546.88
87660,143882.28000000003
84484,143082.22999999998
43740,141692.61
35970,141691.74
65135,141454.51
35746,140954.68
21763,140938.34
3434,140736.18
3376,140612.36
24624,140025.86
29145,140001.58
97963,139582.46000000002
70093,139552.81
62783,139378.18
75354,139356.91999999998
74618,138667.39
40367,138422.21000000002
94429,138235.86
79586,137774.90000000002
51404,137492.82
28328,137492.5
44655,137299.26
46068,137190.88999999996
59168,136437.87
72134,136163.9
13850,136090.53999999998
10188,135969.90999999997
93755,135885.61
79896,135715.6
79367,135640.17
81896,135624.61
95043,135568.86
99083,135422.30000000002
46241,135368.72999999998
21067,135303.32
65948,135265.61
38214,134853.38
25662,134054.59999999998
68846,133887.0
75959,133870.12
62815,133683.81000000003
59362,133634.02999999997
98351,133503.63999999998
23513,133348.34999999998
14945,133266.38000000003
86897,133074.21
95873,132987.14
25426,132971.25
27775,132962.83000000002
19244,132949.46999999997
81431,132859.76000000004
17979,132436.50999999995
24316,132229.34999999998
90972,132014.82000000004
34065,131915.42999999996
18106,131877.28999999998
93874,131803.88000000003
37277,131729.69
10590,131720.99
14283,131646.87
92917,131629.19
42327,131588.74000000002
36648,131395.85
37488,131276.70999999996
67594,131171.39999999997
27327,131134.07
26638,131059.40000000001
1066,131014.10999999999
19856,130855.37
78192,130755.98
22740,130736.31
78244,130693.33000000002
84466,130662.05999999998
48481,130587.58000000002
24814,130516.74999999994
93919,130478.5
25163,130432.85999999999
30389,130396.92000000004
94812,130371.05
12003,130345.22
99046,130299.78
55426,130134.25999999998
23989,130110.53
84283,129869.61000000002
31157,129733.74
26093,129731.32999999999
11438,129511.28000000001
55636,129500.72999999998
2359,129366.72999999998
69093,129195.48000000004
86720,129157.34999999999
48371,129071.04000000001
89802,129057.53999999998
53806,128952.14
74901,128736.85999999999
93743,128709.32000000002
16307,128673.27999999997
14176,128631.80000000002
89401,128618.07999999997
20537,128483.51999999999
94717,128434.55000000002
32635,128418.10000000002
65572,128319.87999999998
37339,128289.99
73743,128289.70000000001
45735,128258.18000000001
39187,128161.09000000003
44108,128065.03000000003
3907,128034.54000000001
60669,127946.54000000001
81320,127874.23999999999
41771,127834.16000000003
33551,127693.21999999999
23087,127634.23999999999
57984,127489.03999999998
81900,127465.67999999998
47966,127318.45999999999
53139,127296.52
60,127179.26999999999
18324,126988.88999999998
65643,126968.28999999998
58739,126812.48000000001
49779,126790.79000000001
61576,126755.15999999999
57915,126423.37000000001
80447,126365.76999999999
23380,126316.52999999997
88960,126290.69
83276,126265.66
17830,126237.79000000004
90332,126207.20000000001
15345,126183.66999999998
65922,126160.63999999998
25215,125972.95
79943,125954.34000000001
38006,125850.40999999996
11059,125819.17000000001
95462,125663.43
79282,125650.25
43052,125635.41999999998
3651,125627.84999999998
70862,125609.33000000002
3057,125548.51999999999
77383,125526.49000000002
54438,125426.21999999999
97308,125295.47
44554,125262.21999999997
59045,125186.01
36854,125034.01000000001
29960,124977.52
26237,124967.93000000001
33864,124921.04000000001
27632,124724.12000000001
33092,124659.73999999999
702,124648.35
33174,124514.68999999999
63013,124507.61000000002
90008,124455.78
67886,124422.62999999999
16249,124312.90000000002
63068,124230.15999999997
53605,124224.07999999999
34249,124205.8
28573,124165.91999999998
99816,124126.87999999999
98921,124084.56
72676,124015.83999999997
45264,123972.78
68510,123905.32
85371,123842.41999999998
34578,123721.25999999998
55306,123696.26999999999
35880,123667.33
39748,123601.84000000003
58371,123568.22999999998
41922,123509.28
55533,123484.64
72080,123477.93000000005
91482,123466.08999999998
81055,123461.38000000002
94522,123461.17999999996
55513,123457.83
43373,123414.26999999999
38743,123302.67999999998
28128,123139.82000000002
76669,123137.57
73971,123125.95999999999
63238,123106.78999999998
85815,123057.53000000001
19011,123053.24000000003
86219,123029.08
28854,122951.29000000001
89138,122853.9
20356,122850.52999999998
64423,122832.84
21216,122809.48999999996
18222,122758.31999999999
6412,122733.83000000002
49803,122693.94
8790,122688.70000000001
77775,122635.76000000002
17641,122607.07999999999
68770,122590.63
22228,122503.73999999999
74253,122493.32999999999
60618,122469.79999999999
87032,122468.62
53452,122432.93
96862,122305.86999999998
91446,122214.12999999998
31811,122179.29
65023,122117.01000000001
72497,122092.07999999999
54643,122056.91999999998
60587,122023.59
16458,121949.44
31612,121924.93000000002
27349,121881.56000000003
1616,121879.64000000001
54911,121806.96000000002
51608,121801.42000000001
48761,121734.32
12427,121726.96999999999
3164,121687.43
50541,121613.78
60754,121545.18000000002
97907,121524.96
99260,121515.39
50387,121426.96000000002
9442,121422.99000000002
42217,121354.38
95376,121329.12999999999
74903,121274.50000000003
23083,121271.93000000002
92322,121198.90999999997
92113,121181.20000000001
91056,121168.06999999999
85506,121059.05000000002
32109,121054.62999999999
26241,121047.80000000002
62226,120973.98000000001
62589,120969.32000000002
31746,120881.43999999999
23096,120864.02000000002
77179,120849.89000000001
27119,120806.66
97175,120803.75
60816,120700.59
19447,120694.63
89015,120616.45999999999
17684,120602.5
47433,120541.86000000002
17162,120505.91
95162,120460.01000000001
67358,120446.35
49405,120418.87999999999
59389,120289.93
99757,120274.65
26992,120242.81
15363,120235.44000000003
22010,120188.6
3142,120176.30999999998
58116,120174.01999999999
1656,120141.44000000003
40945,120133.59
60638,120129.93
53666,120035.87
53715,120010.54999999997
1082,119961.11999999997
14698,119914.51
28940,119887.01000000001
85225,119870.14999999997
62826,119861.96000000002
80054,119822.91
74471,119822.62
85745,119807.62000000001
12455,119765.25
75622,119685.71000000002
41844,119666.75
87531,119634.55000000002
82574,119603.25
39363,119557.15
64367,119538.96000000002
66788,119515.59999999999
89009,119505.91
62474,119489.18000000002
4502,119481.69
89357,119466.83000000002
76594,119427.91999999998
68399,119426.70000000001
96928,119415.85
17971,119399.99000000002
48431,119356.84
90621,119346.58000000002
85895,119341.54000000001
87026,119300.75
65662,119258.87999999999
76094,119256.49999999997
89629,119203.03000000001
48322,119200.28
761,119189.05000000003
70540,119156.12999999998
87803,119147.78
85823,119108.14000000001
84252,119076.83000000002
24521,119065.01999999999
82117,119052.19999999998
81472,119010.86000000002
16598,119002.15000000001
62673,118893.67000000001
84982,118885.81
95987,118808.87000000001
31867,118790.45000000001
12416,118779.51999999999
29373,118772.07000000002
20948,118734.15999999997
48611,118720.14000000001
94768,118717.95000000001
35354,118666.17000000001
94084,118639.41
89232,118635.74999999997
23884,118607.54000000002
8487,118593.34999999996
64874,118583.68
79048,118569.28
33746,118568.85
68808,118533.18
66480,118518.66000000003
55180,118507.01999999999
14779,118436.29
6873,118423.64
27285,118397.14000000001
51662,118395.53
22913,118347.34000000005
37504,118330.31999999998
74460,118324.72
46175,118315.08
8388,118312.13
20891,118282.57999999999
72774,118271.35999999999
48234,118259.95000000004
34591,118244.0
15642,118218.16000000005
87296,118176.82999999999
73311,118176.17000000001
80943,118172.33
38803,118012.21999999997
88260,117993.37999999998
80509,117971.34000000001
23891,117967.72
42725,117910.42000000001
40751,117891.06000000003
